"date","material","colada","prod"
2023-01-18,303661,"B00011610",126.9
2023-01-18,303661,"B00011611",135.36
2023-01-18,303661,"B00011612",121.26
2023-01-18,303661,"B00011613",126.9
2023-01-18,303661,"B00011614",118.24
2023-01-19,303479,"B00011628",132.3
2023-01-19,303479,"B00011629",142.1
2023-01-19,303479,"B00011630",129.85
2023-01-19,303479,"B00011631",127.4
2023-01-19,303479,"B00011632",127.608
2023-01-19,303479,"B00011633",127.608
2023-01-19,303479,"B00011634",115.338
2023-01-19,303479,"B00011635",127.608
2023-01-19,303479,"B00011636",130.062
2023-01-19,303479,"B00011637",130.009
2023-01-19,303479,"B00011638",127.556
2023-01-19,303479,"B00011639",134.915
2023-01-19,303479,"B00011640",142.274
2023-01-19,303479,"B00011641",137.312
2023-01-19,303479,"B00011642",127.504
2023-01-19,303479,"B00011643",112.792
2023-01-19,303479,"B00011644",175.2
2023-01-19,303479,"B00011645",105.35
2023-01-19,303479,"B00011646",132.3
2023-01-19,303479,"B00011647",132.3
2023-01-19,303479,"B00011648",127.608
2023-01-19,303479,"B00011649",130.062
2023-01-19,303479,"B00011650",137.424
2023-01-19,303479,"B00011651",103.068
2023-01-19,303479,"B00011652",182.4
2023-01-19,303479,"B00011653",110.25
2023-01-19,303479,"B00011654",132.3
2023-01-19,303479,"B00011655",122.5
2023-01-20,303458,"B00011672",0
2023-01-20,303458,"B00011674",129.72
2023-01-20,303458,"B00011675",129.72
2023-01-20,303458,"B00011676",123
2023-01-20,303458,"B00011683",125.82
2023-01-20,303466,"B00011677",131.4
2023-01-20,303466,"B00011678",122.688
2023-01-20,303466,"B00011679",122.688
2023-01-20,303466,"B00011680",120.132
2023-01-20,303466,"B00011681",135.15
2023-01-20,303466,"B00011682",138.93
2023-01-20,303479,"B00011656",124.95
2023-01-20,303479,"B00011657",127.608
2023-01-20,303479,"B00011658",132.516
2023-01-20,303479,"B00011659",134.97
2023-01-20,303479,"B00011660",134.97
2023-01-20,303479,"B00011661",122.65
2023-01-20,303479,"B00011662",122.65
2023-01-20,303479,"B00011663",122.65
2023-01-20,303479,"B00011664",137.368
2023-01-20,303479,"B00011665",142.1
2023-01-20,303479,"B00011666",117.6
2023-01-20,303479,"B00011667",181.3
